1,in_use,,,Opcode,prependage,appendage,Specific,variant,comments,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,31:30:29:28:27:26:25:24:23:22:21:20:19:18:17:16:15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,,Binary,,NAME,//		Opcode                                                          	BINARY    	OPCODE    	comments,//		BINARY    	Opcode    	Opcode	comments
2,,UNALLOCATED,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/* UNALLOCATED */,/* UNALLOCATED */
3,,,,BAD,,,,,invalid operation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-,,0x00000000,,"bad,                                                    ","		bad,                                                    	/* 0x00000000	BAD       	invalid operation */","		0x00000000,	/* BAD       	bad	invalid operation */"
4,,"Branch,exception generation and system Instruction",,, ,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/* Branch,exception generation and system Instruction */","/* Branch,exception generation and system Instruction */"
5,,,Compare _ Branch (immediate),,,,,,,,-,0,1,1,0,1,0,-,imm19,,,,,,,,,,,,,,,,,,,Rt,,,,,,,,,,,	/* Compare _ Branch (immediate) */,	/* Compare _ Branch (immediate) */
6,,,,CBZ,,w,,W,,,0,0,1,1,0,1,0,0,imm19,,,,,,,,,,,,,,,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:imm19:::::::::::::::::::Rt::::,,0x34000000,,"cbzw,                                                   ","		cbzw,                                                   	/* 0x34000000	CBZ       	 */","		0x34000000,	/* CBZ       	cbzw	 */"
7,,,,CBNZ,,w,,W,,,0,0,1,1,0,1,0,1,imm19,,,,,,,,,,,,,,,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:imm19:::::::::::::::::::Rt::::,,0x35000000,,"cbnzw,                                                  ","		cbnzw,                                                  	/* 0x35000000	CBNZ      	 */","		0x35000000,	/* CBNZ      	cbnzw	 */"
8,,,,CBZ,,x,,X,,,1,0,1,1,0,1,0,0,imm19,,,,,,,,,,,,,,,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:imm19:::::::::::::::::::Rt::::,,0xB4000000,,"cbzx,                                                   ","		cbzx,                                                   	/* 0xB4000000	CBZ       	 */","		0xB4000000,	/* CBZ       	cbzx	 */"
9,,,,CBNZ,,x,,X,,,1,0,1,1,0,1,0,1,imm19,,,,,,,,,,,,,,,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:imm19:::::::::::::::::::Rt::::,,0xB5000000,,"cbnzx,                                                  ","		cbnzx,                                                  	/* 0xB5000000	CBNZ      	 */","		0xB5000000,	/* CBNZ      	cbnzx	 */"
10,,,Test bit & branch (immediate),,,,,,,,b5,0,1,1,0,1,1,-,b40,,,,,imm14,,,,,,,,,,,,,,Rt,,,,,,,,,,,	/* Test bit & branch (immediate) */,	/* Test bit & branch (immediate) */
11,,,,TBZ,,,,,,,b5,0,1,1,0,1,1,0,b40,,,,,imm14,,,,,,,,,,,,,,Rt,,,,,,b5:-:-:-:-:-:-:-:b40:::::imm14::::::::::::::Rt::::,,0x36000000,,"tbz,                                                    ","		tbz,                                                    	/* 0x36000000	TBZ       	 */","		0x36000000,	/* TBZ       	tbz	 */"
12,,,,TBNZ,,,,,,,b5,0,1,1,0,1,1,1,b40,,,,,imm14,,,,,,,,,,,,,,Rt,,,,,,b5:-:-:-:-:-:-:-:b40:::::imm14::::::::::::::Rt::::,,0x37000000,,"tbnz,                                                   ","		tbnz,                                                   	/* 0x37000000	TBNZ      	 */","		0x37000000,	/* TBNZ      	tbnz	 */"
13,,,Conditional branch (immediate),,,,,,,,0,1,0,1,0,1,0,-,imm19,,,,,,,,,,,,,,,,,,,-,cond,,,,,,,,,,	/* Conditional branch (immediate) */,	/* Conditional branch (immediate) */
14,,,,B_cond,,,,,,,0,1,0,1,0,1,0,0,imm19,,,,,,,,,,,,,,,,,,,0,cond,,,,,-:-:-:-:-:-:-:-:imm19:::::::::::::::::::-:cond:::,,0x54000000,,"b_cond,                                                 ","		b_cond,                                                 	/* 0x54000000	B_cond    	 */","		0x54000000,	/* B_cond    	b_cond	 */"
15,,,Exception generation,,,,,,,,1,1,0,1,0,1,0,0,-,-,-,imm16,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,,,	/* Exception generation */,	/* Exception generation */
16,//,,,SVC,,,,,,,1,1,0,1,0,1,0,0,0,0,0,imm16,,,,,,,,,,,,,,,,0,0,0,0,1,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4000001,,"svc,                                                    ","//		svc,                                                    	/* 0xD4000001	SVC       	 */","//		0xD4000001,	/* SVC       	svc	 */"
17,//,,,HVC,,,,,,,1,1,0,1,0,1,0,0,0,0,0,imm16,,,,,,,,,,,,,,,,0,0,0,1,0,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4000002,,"hvc,                                                    ","//		hvc,                                                    	/* 0xD4000002	HVC       	 */","//		0xD4000002,	/* HVC       	hvc	 */"
18,//,,,SMC,,,,,,,1,1,0,1,0,1,0,0,0,0,0,imm16,,,,,,,,,,,,,,,,0,0,0,1,1,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::-:-:-:-:-,,0xD4000003,,"smc,                                                    ","//		smc,                                                    	/* 0xD4000003	SMC       	 */","//		0xD4000003,	/* SMC       	smc	 */"
